name,brand,link,link-href,description,manufacturer,date,type,released,value,cabinet,display,image-src,players,flippers,ramps,multiball,ipdb
"X-Men (LE)","Stern, 2012","X-Men (LE)","https://pinside.com/pinball/archive/x-men-le","There is a Pro version and two LE versions; Wolverine and Magneto.","Stern Pinball, Inc.","September 2012","SS","550","$5460 - $6340","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/31f6ff76fa9df7a6f1c3abd55adbaf2c13fc461e/archive/jpg/250/WC1NZW4gKExFKSAoMjAxMik%3D/437b421382f5ead6d5a2ebcec68b320b.png","4","3","2","4","5824"
"NBA Fastbreak","Bally, 1997","NBA Fastbreak","https://pinside.com/pinball/archive/nba-fastbreak","NBA Fastbreak is a pinball machine from March 1997, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","March 1997","SS","4,414","$2030 - $2370","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/7e6f9218399a72a1cc7bfb3fc8abd1072b53c46b/archive/jpg/250/TkJBIEZhc3RicmVhayAoMTk5Nyk%3D/be1e4abf047c75b4ae46ab04cd3dcb3b.png","4","2","4","3","4023"
"The Walking Dead","Stern, 2014","The Walking Dead","https://pinside.com/pinball/archive/the_walking_dead","The Walking Dead is a pinball machine from October 2014, manufactured by Stern Pinball, Inc.","Stern Pinball, Inc.","October 2014","SS","null","Unknown","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/7a31bad75f9f4339c66955a2a4bc2a3eaf7f9db6/archive/jpg/250/VGhlIFdhbGtpbmcgRGVhZCAoMjAxNCk%3D/337442326f4979763239fe4ed004bfb2.png","4","2","2","4","null"
"Iron Man","Stern, 2010","Iron Man","https://pinside.com/pinball/archive/iron-man","Iron Man Pinball features speech, art, and dot matrix display images of all of the popular characters, including Tony Stark, Iron Man, Whiplash, War Machine, Rhodey, Iron Monger,Pepper Potts, Black Widow and many more.","Stern Pinball, Inc.","April 2010","SS","null","$4530 - $5270","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/2226ba707da2421da7944d6a6d8b0d4d6bb3f271/archive/jpg/250/SXJvbiBNYW4gKDIwMTAp/21e66e87bb387e9fe8736a4af7b38348.png","4","2","2","4","5550"
"Cyclone","Williams, 1988","Cyclone","https://pinside.com/pinball/archive/cyclone","Cyclone is a pinball machine from February 1988, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","February 1988","SS","9,400","$2030 - $2370","Normal","Alphanumeric","https://img-d.pinside.com/polaroider/small/47d208271f5c8cd620921ef51c4ca51137d56035/archive/jpg/250/Q3ljbG9uZSAoMTk4OCk%3D/c8285017b24ee614f88d6a8ce21cde65.png","4","2","3","?","617"
"Big Bang Bar","Capcom, 1996","Big Bang Bar","https://pinside.com/pinball/archive/big-bang-bar","Big Bang Bar is a pinball machine from 1996, manufactured by Capcom Coin-Op, Inc.","Capcom Coin-Op, Inc.","null","SS","14","Unknown","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/7b05a14fb291154fb81b24c2f9a8dc2f40da536e/archive/jpg/250/QmlnIEJhbmcgQmFyICgxOTk2KQ%3D%3D/e4e240d7e5f483868f1773670b8af9f6.png","4","3","1","4","4001"
"Safe Cracker","Bally, 1996","Safe Cracker","https://pinside.com/pinball/archive/safe-cracker","Safe Cracker is a pinball machine from March 1996, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","March 1996","SS","1,148","$6200 - $7200","Small body","Dot Matrix","https://img-d.pinside.com/polaroider/small/9e13c5f8dca1080b0928d28f710a3d0aea7f38a4/archive/jpg/250/U2FmZSBDcmFja2VyICgxOTk2KQ%3D%3D/dd38f18eafdea5d1cb36a10b2925d310.png","4","3","1","3","3782"
"Cactus Canyon","Bally, 1998","Cactus Canyon","https://pinside.com/pinball/archive/cactus-canyon","Cactus Canyon is a pinball machine from 1998, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","null","SS","903","$9160 - $10640","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/d64f4be4452d2aaa1250da77a9dedec6f0ddb77d/archive/jpg/250/Q2FjdHVzIENhbnlvbiAoMTk5OCk%3D/c3c50d457845c181387baa85c2ba586d.png","4","2","3","4","4445"
"Embryon","Bally, 1980","Embryon","https://pinside.com/pinball/archive/embryon","Embryon is a pinball machine from September 1980, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","September 1980","SS","2,250","$920 - $1080","Wide body","null","https://img-d.pinside.com/polaroider/small/17884a7f678b5d190345b6ceb985b6b22ef2a58c/archive/jpg/250/RW1icnlvbiAoMTk4MCk%3D/99bba77816ac7de852c39145df12172d.png","4","4","?","2","783"
"X-Men (Pro)","Stern, 2012","X-Men (Pro)","https://pinside.com/pinball/archive/x-men","There is a Pro version and two LE versions; Wolverine and Magneto.","Stern Pinball, Inc.","August 2012","SS","null","$3790 - $4410","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/42cc05584cbc00317c33cf29fe8ab1cd74f2c275/archive/jpg/250/WC1NZW4gKFBybykgKDIwMTIp/4a134ac3cde98989b85264ff5a3ae9db.png","4","3","2","4","5822"
"Star Wars","Data East, 1992","Star Wars","https://pinside.com/pinball/archive/star-wars","Star Wars is a pinball machine from 1992, manufactured by Data East USA, Inc.","Data East USA, Inc.","null","SS","10,400","$3240 - $3760","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/5e150d42afcf9e26adaa5db155dd866a4c0912e5/archive/jpg/250/U3RhciBXYXJzICgxOTkyKQ%3D%3D/8873841666f6789584f8b9ae11a606d2.png","4","2","1","3","2358"
"Pinball Magic","Capcom, 1995","Pinball Magic","https://pinside.com/pinball/archive/pinball-magic","Pinball Magic is a pinball machine from 1995, manufactured by Capcom Coin-Op, Inc.","Capcom Coin-Op, Inc.","null","SS","1,200","$2870 - $3330","Custom shape","Dot Matrix","https://img-d.pinside.com/polaroider/small/22cc629cffb53fe642fb2e23b7e202e42b35a6f0/archive/jpg/250/UGluYmFsbCBNYWdpYyAoMTk5NSk%3D/fb2735fe22ca2f095f84c4f52aa5eab9.png","4","2","1","3","3596"
"Whirlwind","Williams, 1990","Whirlwind","https://pinside.com/pinball/archive/whirlwind","Whirlwind is a pinball machine from 1990, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","null","SS","7,300","$2130 - $2470","Normal","Alphanumeric","https://img-d.pinside.com/polaroider/small/0014f3807124e0a621cc2271e129e62aab26beff/archive/jpg/250/V2hpcmx3aW5kICgxOTkwKQ%3D%3D/80407e03deaf073520589d51c05d5477.png","4","3","2","3","2765"
"Jurassic Park","Data East, 1993","Jurassic Park","https://pinside.com/pinball/archive/jurassic-park","Jurassic Park is a pinball machine from June 1993, manufactured by Data East USA, Inc.","Data East USA, Inc.","June 1993","SS","9,008","$2130 - $2470","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/a9227efd5f66a0223d930347deacef6d24c60e0c/archive/jpg/250/SnVyYXNzaWMgUGFyayAoMTk5Myk%3D/a114d20438e63f62f0e42e21eecdc83e.png","4","3","1","6","1343"
"Creature from the Black Lagoon","Bally, 1992","Creature from the Black Lagoon","https://pinside.com/pinball/archive/creature-from-the-black-lagoon","Creature from the Black Lagoon is a pinball machine from December 1992, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","December 1992","SS","7,841","$3880 - $4520","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/13c5a9e0d2b19efc08aa3cf1244878447648459c/archive/jpg/250/Q3JlYXR1cmUgZnJvbSB0aGUgQmxhY2sgTGFnb29uICgxOTkyKQ%3D%3D/70186f909ccd78a943046ebd2b676388.png","4","2","2","2","588"
"Pinbot","Williams, 1986","Pinbot","https://pinside.com/pinball/archive/pinbot","Pinbot is a pinball machine from October 1986, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","October 1986","SS","12,001","$2030 - $2370","Normal","Alphanumeric","https://img-d.pinside.com/polaroider/small/70fb5c497762f3caeee28a7f3e3c20727746fb48/archive/jpg/250/UGluYm90ICgxOTg2KQ%3D%3D/22cff046288b08bb96123cbe3a9ec4d6.png","4","2","1","2","1796"
"Guns N' Roses","Data East, 1994","Guns N' Roses","https://pinside.com/pinball/archive/guns-n-roses","Guns N' Roses is a pinball machine from July 1994, manufactured by Data East USA, Inc.","Data East USA, Inc.","July 1994","SS","3,000","$4070 - $4730","Wide body","Dot Matrix","https://img-d.pinside.com/polaroider/small/f8c75a28ce0d45e650754d9f174acfd9b8fc7acc/archive/jpg/250/R3VucyBOJyBSb3NlcyAoMTk5NCk%3D/c4d31b7b15cf3df619aea324b3d9f62b.png","4","3","2","6","1100"
"Batman (The Dark Knight)","Stern, 2008","Batman (The Dark Knight)","https://pinside.com/pinball/archive/batman-the-dark-knight","Batman (The Dark Knight) is a pinball machine from August 2008, manufactured by Stern Pinball, Inc.","Stern Pinball, Inc.","August 2008","SS","null","$4810 - $5590","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/86aa8181cccb5c021290d46acb498730b5fbe8d9/archive/jpg/250/QmF0bWFuIChUaGUgRGFyayBLbmlnaHQpICgyMDA4KQ%3D%3D/ebf4da0f04b85235597fe4316a971625.png","4","2","1","3","5307"
"Wizard of Oz LE","Jersey Jack Pinball, 2013","Wizard of Oz LE","https://pinside.com/pinball/archive/wizard-of-oz","Wizard of Oz LE is a pinball machine from May 2013, manufactured by Jersey Jack Pinball.","Jersey Jack Pinball","May 2013","SS","1,000","$7400 - $8600","Wide body","Tv Screen","https://img-d.pinside.com/polaroider/small/e409139fdb68d114087fcc09a7107548af2f6da0/archive/jpg/250/V2l6YXJkIG9mIE96IExFICgyMDEzKQ%3D%3D/e2e9314023967d79985cd9880e0c1b96.png","4","5","1","5","5800"
"Centaur","Bally, 1981","Centaur","https://pinside.com/pinball/archive/centaur","Centaur is a pinball machine from February 1981, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","February 1981","SS","3,700","$3050 - $3550","Normal","Digital","https://img-d.pinside.com/polaroider/small/ebd3c9f34834e88c8f5dd3c957af402cc537dd68/archive/jpg/250/Q2VudGF1ciAoMTk4MSk%3D/bb253b7dcd3876bd62f4b56296a15da4.png","4","2","?","5","476"
"Fish Tales","Williams, 1992","Fish Tales","https://pinside.com/pinball/archive/fish-tales","Fish Tales is a pinball machine from 1992, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","null","SS","13,640","$2400 - $2800","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/60e73e710e32aa3064da21dc1fad5d11cccfa2e3/archive/jpg/250/RmlzaCBUYWxlcyAoMTk5Mik%3D/44a7572e1c5e15021db1fd7f9ed6ca5e.png","4","2","2","3","861"
"Black Rose","Bally, 1992","Black Rose","https://pinside.com/pinball/archive/black-rose","Black Rose is a pinball machine from July 1992, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","July 1992","SS","3,746","$1760 - $2040","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/f26b2758a7275d8a9bd656dd1095f0f92ac41b72/archive/jpg/250/QmxhY2sgUm9zZSAoMTk5Mik%3D/c3580273cbec90a659299459b542e8c9.png","4","3","2","3","313"
"Elvira and the Party Monsters","Bally, 1989","Elvira and the Party Monsters","https://pinside.com/pinball/archive/elvira-and-the-party-monsters","Elvira and the Party Monsters is a pinball machine from 1989, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","null","SS","4,000","$2310 - $2690","Normal","Alphanumeric","https://img-d.pinside.com/polaroider/small/17bbfb9d2ee64039a1a241d78ead5583bf13eb45/archive/jpg/250/RWx2aXJhIGFuZCB0aGUgUGFydHkgTW9uc3RlcnMgKDE5ODkp/8f8235b407e751d175cad9f23badbeb7.png","4","2","2","3","782"
"Indiana Jones: The Pinball Adventure","Williams, 1993","Indiana Jones: The Pinball Adventure","https://pinside.com/pinball/archive/indiana-jones","Indiana Jones: The Pinball Adventure is a pinball machine from January 1993, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","January 1993","SS","12,716","$4810 - $5590","Wide body","Dot Matrix","https://img-d.pinside.com/polaroider/small/5e651be245df81f3509d9416a9a76ae874b95a1e/archive/jpg/250/SW5kaWFuYSBKb25lczogVGhlIFBpbmJhbGwgQWR2ZW50dXJlICgxOTkzKQ%3D%3D/279a41182ad9e059fa9b848d6a06b78c.png","4","2","2","6","1267"
"WHO dunnit","Bally, 1995","WHO dunnit","https://pinside.com/pinball/archive/who-dunnit","WHO dunnit is a pinball machine from January 1995, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","January 1995","SS","2,416","$2590 - $3010","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/6b0db5e870e3aa6170d87a03a61ff7176991c7c8/archive/jpg/250/V0hPIGR1bm5pdCAoMTk5NSk%3D/18d69c4997c508111c5cca44822ef40d.png","4","2","3","4","3685"
"Ripley's Believe It or Not!","Stern, 2004","Ripley's Believe It or Not!","https://pinside.com/pinball/archive/ripleys-believe-it-or-not","This Stern machine was created by Pat Lawlor in 2004 and was inspired by the ""Ripley's Believe it or Not"" books, museums and other types of exhibitions. The machine encourages players to journey into the world of the strange and unusual with a deep ruleset and plenty of unique toys, including a Temple full of rewards and a head that can capture the ball.","Stern Pinball, Inc.","March 2004","SS","null","$3240 - $3760","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/3fec840ec4b026450e22edc1bcfef7d939cd4f62/archive/jpg/250/UmlwbGV5J3MgQmVsaWV2ZSBJdCBvciBOb3QhICgyMDA0KQ%3D%3D/3dc1d6fc8eeca7ffedbc311e00199f25.png","4","3","2","4","4917"
"The Avengers (Premium/LE)","Stern, 2012","The Avengers (Premium/LE)","https://pinside.com/pinball/archive/the-avengers-le","The Avengers (Premium/LE) is a pinball machine from November 2012, manufactured by Stern Pinball, Inc.","Stern Pinball, Inc.","November 2012","SS","500","$5550 - $6450","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/4a51c61b1268f1cf1dea55678e86bba4f08c2856/archive/jpg/250/VGhlIEF2ZW5nZXJzIChQcmVtaXVtL0xFKSAoMjAxMik%3D/b270c934b476d440a3184b6a12d063d6.png","4","2","2","6","5940"
"The Getaway: High Speed II","Williams, 1992","The Getaway: High Speed II","https://pinside.com/pinball/archive/getaway-high-speed-ii","The Getaway: High Speed II is a pinball machine from February 1992, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","February 1992","SS","13,259","$2130 - $2470","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/889eaf728a487f2fdf7bd15a701668d203536b83/archive/jpg/250/R2V0YXdheTogSGlnaCBTcGVlZCBJSSwgVGhlICgxOTkyKQ%3D%3D/e3087c22ccea9f2e4057c50606813967.png","4","3","2","3","1000"
"Medieval Madness","Williams, 1997","Medieval Madness","https://pinside.com/pinball/archive/medieval-madness","Medieval Madness  is a pinball machine from June 1997, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","June 1997","SS","4,414","$9990 - $11610","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/97c5b8c21fd429a2e0fb2cd081a013526a0f914f/archive/jpg/250/TWVkaWV2YWwgTWFkbmVzcyAgKDE5OTcp/52206dea269134ac7e1b1a3748599a5d.png","4","2","2","4","4032"
"Indianapolis 500","Bally, 1995","Indianapolis 500","https://pinside.com/pinball/archive/indianapolis-500","Dennis Nordman created this machine for Bally in 1995. Indianapolis 500 features a deep ruleset that revolves around advancing through the race by completing the Speedway; advancing your Position; making the Lite-Ups; and going through as many Laps as possible to go for a Victory Lap. While the machine has a low run, it is admired my enthusiasts today for its blending of theme with a large amount of unique toys and features.","Bally Manufacturing Co.","June 1995","SS","2,249","$2770 - $3230","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/ec67e0bb1e89a75fa62aaf9a8b126807ad58da6c/archive/jpg/250/SW5kaWFuYXBvbGlzIDUwMCAoMTk5NSk%3D/fb91962038fc248c8a63333ae188fc50.png","4","3","2","3","2853"
"Centaur II","Bally, 1983","Centaur II","https://pinside.com/pinball/archive/centaur-ii","Centaur II is a pinball machine from June 1983, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","June 1983","SS","1,550","Unknown","Normal","Digital","https://img-d.pinside.com/polaroider/small/b005f049b421461c3042ca29b905bd58621f5bd2/archive/jpg/250/Q2VudGF1ciBJSSAoMTk4Myk%3D/f55cb2ed422966f470355b8c08559282.png","4","2","?","5","477"
"Theatre of Magic","Bally, 1995","Theatre of Magic","https://pinside.com/pinball/archive/theatre-of-magic","Theatre of Magic is a pinball machine from March 1995, manufactured by Bally Manufacturing Co. This game was designed by John Popadiuk and features many of his design staples such as magnets, a bash toy, and elaborate ramps. Theatre of Magic is based on an unlicensed magic theme where the goal is to perform eight different magic tricks and then complete a rather simple wizard mode. There are numerous side goals such as spelling ""Theatre"" and advancing the clock to Midnight Madness (not to be confused with the midnight madness featured in some other Bally/WMS games), as well as a video mode featuring a virtual pinball game.","Bally Manufacturing Co.","March 1995","SS","6,600","$4620 - $5380","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/a2d3152121ca7601d5405ea0b577b23071fdeb41/archive/jpg/250/VGhlYXRyZSBvZiBNYWdpYyAoMTk5NSk%3D/fef91aace3d94c4e65178e4fa675c401.png","4","2","4","4","2845"
"Terminator 2: Judgment Day","Williams, 1991","Terminator 2: Judgment Day","https://pinside.com/pinball/archive/terminator-2-judgment-day","Terminator 2: Judgment Day is a pinball machine from July 1991, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","July 1991","SS","15,202","$2130 - $2470","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/0496e8b63ea9713f83f4cc16f1291d77396cca08/archive/jpg/250/VGVybWluYXRvciAyOiBKdWRnbWVudCBEYXkgKDE5OTEp/462ccd2494ea61e77baef31e56d6c09f.png","4","2","2","3","2524"
"The Addams Family Gold (Special Collectors Edition)","Bally, 1994","The Addams Family Gold (Special Collectors Edition)","https://pinside.com/pinball/archive/addams-family-gold-special-collectors-edition","The Addams Family Gold (Special Collectors Edition) is a pinball machine from 1994, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","null","SS","1,000","$9800 - $11400","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/3e74ae8c0a5d8d2c61fa64b96ae67e2b4b0e59a2/archive/jpg/250/QWRkYW1zIEZhbWlseSBHb2xkIChTcGVjaWFsIENvbGxlY3RvcnMgRWRpdGlvbiksIFRoZSAoMTk5NCk%3D/49124893d7ea58dcf905988d536e4b4b.png","4","4","3","3","21"
"Junk Yard","Williams, 1996","Junk Yard","https://pinside.com/pinball/archive/junk-yard","Junk Yard is a pinball machine from 1996, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","null","SS","3,013","$3050 - $3550","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/485eae49c854fa548f33d262bd738134ba992913/archive/jpg/250/SnVuayBZYXJkICgxOTk2KQ%3D%3D/9e8117f536cc896b25e3e4b8587fb997.png","4","2","3","3","4014"
"Bram Stoker's Dracula","Williams, 1993","Bram Stoker's Dracula","https://pinside.com/pinball/archive/bram-stokers-dracula","This machine was designed by Barry Oursler for Williams in 1993. The machine was based on the 1992 movie of the same name and features many toys based on the movie. The primary challenge of the machine is to stack 3 multiballs (Castle, Coffin, & Mist), kill bats and rats, and earn big points in the process of doing so. Toys in the game include a revolutionary magnet that can throw the ball along a trail for Mist multiball, and two seperate lock traps for ""Castle"" and ""Coffin"" multiballs.","Williams Electronic Games, Inc.","January 1993","SS","6,801","$2500 - $2900","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/f0413c86b0065a6d52bee89b9afd43304a8dfa30/archive/jpg/250/QnJhbSBTdG9rZXIncyBEcmFjdWxhICgxOTkzKQ%3D%3D/0fcc0ae8c6f19a2fc20081959c75ce93.png","4","2","2","4","3072"
"Scared Stiff","Bally, 1996","Scared Stiff","https://pinside.com/pinball/archive/scared-stiff","Scared Stiff is a pinball machine from January 1996, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","January 1996","SS","4,000","$3050 - $3550","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/55f4f92ff8e555fbc408bb9de2eb3826b91fb6cb/archive/jpg/250/U2NhcmVkIFN0aWZmICgxOTk2KQ%3D%3D/8a0d97c19f245a7728493f6a060cdce3.png","4","2","2","4","3915"
"Star Trek: The Next Generation","Williams, 1993","Star Trek: The Next Generation","https://pinside.com/pinball/archive/star-trek-the-next-generation","Star Trek: The Next Generation is a pinball machine from 1993, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","null","SS","11,728","$4070 - $4730","Wide body","Dot Matrix","https://img-d.pinside.com/polaroider/small/4a304ae32ee07f88ad9543dd1110ba806e1120f1/archive/jpg/250/U3RhciBUcmVrOiBUaGUgTmV4dCBHZW5lcmF0aW9uICgxOTkzKQ%3D%3D/e04af7c9780ef7242bf057b1a8a08854.png","4","3","3","6","2357"
"The Sopranos","Stern, 2005","The Sopranos","https://pinside.com/pinball/archive/sopranos","Based off the HBO series of the same name.","Stern Pinball, Inc.","January 2005","SS","null","$3240 - $3760","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/717d1ed53f5b4c3a5c2310ef222dfea877339a34/archive/jpg/250/VGhlIFNvcHJhbm9zICgyMDA1KQ%3D%3D/43581c950d76b9d7eb0fe8694b213b4b.png","4","2","2","4","5053"
"Seawitch","Stern, 1980","Seawitch","https://pinside.com/pinball/archive/seawitch","Seawitch is a pinball machine from May 1980, manufactured by Stern Pinball, Inc.","Stern Pinball, Inc.","May 1980","SS","2,503","Unknown","Normal","Digital","https://img-d.pinside.com/polaroider/small/1adc59d2c975ddaf5c6e943feeeb56634187548c/archive/jpg/250/U2Vhd2l0Y2ggKDE5ODAp/a7c8ee527c07cd888801169cce8fd518.png","4","2","?","?","2089"
"Sorcerer","Williams, 1985","Sorcerer","https://pinside.com/pinball/archive/sorcerer","Sorcerer is a pinball machine from March 1985, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","March 1985","SS","3,700","$920 - $1080","Normal","Digital","https://img-d.pinside.com/polaroider/small/77778caf65175e47ed73ba46587389e8b97f858b/archive/jpg/250/U29yY2VyZXIgKDE5ODUp/e5c9cb4c513ef959fc4f1964fe1a84bc.png","4","3","1","2","2242"
